,index,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,2669,2671,Boxing,2600,1980.0,Fighting,Activision,0.72,0.04,0.0,0.01,0.77
1,1973,1975,Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
2,465,466,Mike Tyson's Punch-Out!!,NES,1987.0,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
3,647,648,Pro Wrestling,NES,1987.0,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
4,4944,4946,Super Fire ProWrestling,SNES,1991.0,Fighting,Human Entertainment,0.0,0.0,0.39,0.0,0.39
5,4952,4954,Fatal Fury,SNES,1992.0,Fighting,Takara,0.0,0.0,0.39,0.0,0.39
6,12700,12702,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
7,1099,1101,Street Fighter II': Special Champion Edition,GEN,1992.0,Fighting,Sega,1.0,0.3,0.31,0.04,1.66
8,285,286,Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
9,11985,11987,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992.0,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0.0,0.07
10,564,565,Mortal Kombat,GEN,1992.0,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67
11,136,137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
12,2795,2797,Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73
13,8908,8910,Super Street Fighter II,GEN,1993.0,Fighting,Capcom,0.0,0.0,0.15,0.0,0.15
14,849,851,Super Street Fighter II,SNES,1993.0,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0
15,9196,9198,The King of Fighters '94 (CD),NG,1993.0,Fighting,SNK,0.0,0.0,0.14,0.0,0.14
16,887,889,Mortal Kombat II,SNES,1993.0,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93
17,6306,6308,Bishoujo Senshi Sailormoon R,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27
18,1325,1327,Dragon Ball Z,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45
19,4363,4365,Fatal Fury 2,SNES,1993.0,Fighting,Takara,0.0,0.0,0.45,0.0,0.45
20,1674,1676,Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2
