,index,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,544,545,Missile Command,2600,1980.0,Shooter,Atari,2.56,0.17,0.0,0.03,2.76
1,258,259,Asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
2,5400,5402,Carnival,2600,1981.0,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34
3,1429,1431,Centipede,2600,1981.0,Shooter,Atari,1.26,0.08,0.0,0.01,1.36
4,2806,2808,Berzerk,2600,1981.0,Shooter,Atari,0.68,0.04,0.0,0.01,0.73
5,1153,1155,River Raid,2600,1981.0,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
6,6940,6942,Dark Cavern,2600,1981.0,Shooter,Mattel Interactive,0.22,0.01,0.0,0.0,0.24
7,1556,1558,Atlantis,2600,1981.0,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27
8,766,768,Demon Attack,2600,1981.0,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13
9,1965,1967,Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
10,1848,1850,Megamania,2600,1981.0,Shooter,Activision,1.03,0.06,0.0,0.01,1.1
11,7148,7150,Deadly Duck,2600,1981.0,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22
12,3248,3250,Battlezone,2600,1982.0,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
13,2629,2631,Yars' Revenge,2600,1982.0,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
14,3966,3968,Chopper Command,2600,1982.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.5
15,2660,2662,Galaxian,2600,1982.0,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
16,1817,1819,Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
17,4096,4098,Millipede,2600,1983.0,Shooter,Atari,0.45,0.03,0.0,0.01,0.48
18,1234,1236,Xevious,NES,1984.0,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
19,9,10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
20,1560,1562,Hogan's Alley,NES,1984.0,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
21,2059,2061,1942,NES,1985.0,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
22,2158,2160,Star Soldier,NES,1986.0,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
23,1427,1429,Gradius,NES,1986.0,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
24,1675,1677,TwinBee,NES,1986.0,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
25,5082,5084,Solaris,2600,1986.0,Shooter,Atari,0.35,0.02,0.0,0.0,0.37
26,6583,6585,Desert Falcon,2600,1987.0,Shooter,Atari,0.24,0.01,0.0,0.0,0.26
27,4393,4395,Defender II,2600,1987.0,Shooter,Atari,0.42,0.02,0.0,0.0,0.45
28,3940,3942,River Raid II,2600,1988.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.51
29,1678,1680,SolarStriker,GB,1989.0,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2
30,7094,7096,Super R-Type,SNES,1991.0,Shooter,Nintendo,0.0,0.0,0.23,0.0,0.23
31,9958,9960,UN Squadron,SNES,1991.0,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12
32,1108,1110,Super Scope 6,SNES,1991.0,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65
33,9561,9563,Gunstar Heroes,GEN,1992.0,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
34,9442,9444,Contra III: The Alien Wars,SNES,1992.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
35,14599,14602,Doom,PC,1992.0,Shooter,id Software,0.02,0.0,0.0,0.0,0.03
36,11127,11129,Lethal Enforcers,SNES,1993.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09
37,472,473,Star Fox,SNES,1993.0,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
38,5533,5535,Parodius,PS,1994.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33
39,874,876,Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95
40,8100,8102,Gokujou Parodius,SNES,1994.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18
41,7647,7649,Wing Arms,SAT,1994.0,Shooter,Sega,0.0,0.0,0.2,0.0,0.2
42,4293,4295,Space Invaders,SNES,1994.0,Shooter,Taito,0.0,0.0,0.46,0.0,0.46
43,12351,12353,Robotica,SAT,1994.0,Shooter,Sega,0.0,0.0,0.06,0.0,0.06
44,6631,6633,Galactic Attack,SAT,1994.0,Shooter,Acclaim Entertainment,0.0,0.0,0.25,0.0,0.25
45,5101,5103,Kileak: The DNA Imperative,PS,1994.0,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02,0.37
46,10354,10356,Jupiter Strike,PS,1994.0,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11
47,2634,2636,Doom,PS,1994.0,Shooter,Infogrames,0.43,0.3,0.0,0.05,0.78
48,353,354,Doom II: Hell on Earth,PC,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
49,9468,9470,Disruptor,PS,1995.0,Shooter,Interplay,0.07,0.05,0.0,0.01,0.13
50,7102,7104,The Raiden Project,PS,1995.0,Shooter,Ocean,0.06,0.04,0.12,0.01,0.23
51,15535,15538,Ginga Fukei Densetsu: Sapphire,TG16,1995.0,Shooter,Hudson Soft,0.0,0.0,0.02,0.0,0.02
52,9256,9258,In the Hunt,PS,1995.0,Shooter,THQ,0.03,0.02,0.07,0.01,0.14
